Survived,Fare_cat,Age_cat,Parch_cat,SibSp_cat,Female,Male,Pclass_1,Pclass_2,Pclass_3,ScaledFare,ScaledAge
0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.029290467710188395,0.2711736617240512
1,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.28798913061043757,0.4722292033174164
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.032017511255619725,0.32143754712239253
1,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.21452742557393156,0.4345312892686604
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032522519319588494,0.4345312892686604
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.034172077659736066,0.36792055349407915
0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.20952784574064076,0.6732847449107816
0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.08514435958513385,0.01985423473234481
1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04497925022866765,0.33400351847197784
1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12148797191993561,0.17064589092736868
1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.06746907734622706,0.04498617743151546
1,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.10726371278696578,0.723548630309123
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032522519319588494,0.24604171902488062
0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.1263530176049851,0.4847951746670017
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03173147468818782,0.17064589092736868
1,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06464103218800198,0.685850716260367
0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.11766687890472234,0.01985423473234481
1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0525208386527516,0.36792055349407915
0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.07272116121150222,0.38426740387031916
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02918946609739464,0.36792055349407915
0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1050416773055032,0.4345312892686604
1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0525208386527516,0.4219653179190751
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03243848597774409,0.18321186227695402
1,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14342229016712937,0.34656948982156316
0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.08514435958513385,0.09525006282985675
1,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.126807524862557,0.4722292033174164
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.02918946609739464,0.36792055349407915
0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.2334757476752953
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03183247630098157,0.36792055349407915
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03189954137187662,0.36792055349407915
0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.11199382031732283,0.49736114601658704
1,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5919534843132376,0.36792055349407915
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03131049996606346,0.36792055349407915
0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0424206773733763,0.8240764011058055
0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.33197533298211707,0.34656948982156316
0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.2100833546110064,0.5224930887157577
1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.02920643436834399,0.36792055349407915
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032522519319588494,0.2586076903744659
0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.07272116121150222,0.22090977632571
1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.04541719322174136,0.17064589092736868
0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.03827961124883242,0.49736114601658704
0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0848413547467526,0.33400351847197784
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03189954137187662,0.36792055349407915
1,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16798265034696075,0.032420206081930136
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03183247630098157,0.2334757476752953
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032522519319588494,0.36792055349407915
0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.06262099993212691,0.36792055349407915
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03131049996606346,0.36792055349407915
0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.08758536656313329,0.36792055349407915
0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0719131483091522,0.22090977632571
0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.16034006031008302,0.08268409148027142
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03151250319165096,0.2586076903744659
1,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.30999091793497763,0.610454888162855
1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1050416773055032,0.35913546117114853
0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25039996638666323,0.8115104297562202
1,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14342229016712937,0.36792055349407915
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0424206773733763,0.2586076903744659
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.02920643436834399,0.35285247549635584
1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11211179020106593,0.05755214878110078
0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.1894790256010808,0.1329479768786127
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.02920643436834399,0.2711736617240512
1,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3232051609400099,0.4722292033174164
0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.33724438511834154,0.5601910027645137
0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.11271779987782844,0.04498617743151546
0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.11199382031732283,0.36792055349407915
1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.06159401553324003,0.36792055349407915
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0424206773733763,0.35913546117114853
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032960058306211036,0.2334757476752953
1,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.032017511255619725,0.20834380497612465
0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.034997058833035444,0.32143754712239253
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0424206773733763,0.39683337521990447
0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.1894790256010808,0.19577783362653933
0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2969447416136341,0.2586076903744659
0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.058395900465738636,0.32143754712239253
1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.22824667664293263,0.39683337521990447
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.030906493514888448,0.3088715757728072
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03189954137187662,0.36792055349407915
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032522519319588494,0.36792055349407915
1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.11716187084075358,0.005152048253329982
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05039980478408279,0.37170143252073384
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03636058060575111,0.2711736617240512
1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.038380612861626175,0.35913546117114853
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03146200238525409,0.36792055349407915
0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.19028703850343082,0.34656948982156316
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0424206773733763,0.20834380497612465
1,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.06403502251123945,0.4093993465694898
0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.1388772175914105,0.19577783362653933
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032522519319588494,0.36792055349407915
1,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.2837396330736366
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032522519319588494,0.2963056044232219
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032522519319588494,0.35913546117114853
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03173147468818782,0.24604171902488062
0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.2471509465063138,0.5727569741140991
0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.08312432732925878,0.32143754712239253
0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.029290467710188395,0.7361146016587082
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032522519319588494,0.36792055349407915
0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14000520360309116,0.8869062578537321
1,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2559716193548178,0.2837396330736366
1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09292148377025285,0.4219653179190751
0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1050416773055032,0.4219653179190751
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03189954137187662,0.34656948982156316
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03189954137187662,0.36792055349407915
0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.31224648595188764,0.2586076903744659
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.034963526297587914,0.4093993465694898
0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.032017511255619725,0.4596632319678311
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03189954137187662,0.34656948982156316
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.030906493514888448,0.2586076903744659
1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.031411501578857214,0.36792055349407915
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03189954137187662,0.4722292033174164
1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.09756755795876548,0.36792055349407915
0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2100833546110064,0.5853229454636844
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.058395900465738636,0.17692887660216136
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032522519319588494,0.2711736617240512
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.03969363382794496,0.24604171902488062
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.058412464730236806,0.20834380497612465
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.032017511255619725,0.2586076903744659
0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03131049996606346,0.8806232721789394
